Date,store,product,number_sold
2019-01-01,0,0,845
2019-01-02,0,0,851
2019-01-03,0,0,840
2019-01-04,0,0,842
2019-01-05,0,0,845
2019-01-06,0,0,855
2019-01-07,0,0,822
2019-01-08,0,0,850
2019-01-09,0,0,868
2019-01-10,0,0,849
2019-01-11,0,0,856
2019-01-12,0,0,860
2019-01-13,0,0,874
2019-01-14,0,0,863
2019-01-15,0,0,868
2019-01-16,0,0,867
2019-01-17,0,0,867
2019-01-18,0,0,857
2019-01-19,0,0,857
2019-01-20,0,0,855
2019-01-21,0,0,887
2019-01-22,0,0,856
2019-01-23,0,0,871
2019-01-24,0,0,863
2019-01-25,0,0,857
2019-01-26,0,0,866
2019-01-27,0,0,875
2019-01-28,0,0,849
2019-01-29,0,0,883
2019-01-30,0,0,875
2019-01-31,0,0,874
2019-02-01,0,0,870
2019-02-02,0,0,868
2019-02-03,0,0,874
2019-02-04,0,0,900
2019-02-05,0,0,875
2019-02-06,0,0,883
2019-02-07,0,0,879
2019-02-08,0,0,886
2019-02-09,0,0,873
2019-02-10,0,0,899
2019-02-11,0,0,874
2019-02-12,0,0,887
2019-02-13,0,0,890
2019-02-14,0,0,888
2019-02-15,0,0,894
2019-02-16,0,0,880
2019-02-17,0,0,890
2019-02-18,0,0,884
2019-02-19,0,0,910
2019-02-20,0,0,888
2019-02-21,0,0,871
2019-02-22,0,0,888
2019-02-23,0,0,880
2019-02-24,0,0,899
2019-02-25,0,0,874
2019-02-26,0,0,879
2019-02-27,0,0,872
2019-02-28,0,0,888
2019-03-01,0,0,870
2019-03-02,0,0,881
2019-03-03,0,0,888
2019-03-04,0,0,904
2019-03-05,0,0,892
2019-03-06,0,0,896
2019-03-07,0,0,887
2019-03-08,0,0,904
2019-03-09,0,0,892
2019-03-10,0,0,909
2019-03-11,0,0,885
2019-03-12,0,0,905
2019-03-13,0,0,874
2019-03-14,0,0,897
2019-03-15,0,0,885
2019-03-16,0,0,889
2019-03-17,0,0,898
2019-03-18,0,0,896
2019-03-19,0,0,894
2019-03-20,0,0,897
2019-03-21,0,0,910
2019-03-22,0,0,922
2019-03-23,0,0,898
2019-03-24,0,0,887
2019-03-25,0,0,888
2019-03-26,0,0,901
2019-03-27,0,0,889
2019-03-28,0,0,898
2019-03-29,0,0,891
2019-03-30,0,0,909
2019-03-31,0,0,893
2019-04-01,0,0,908
2019-04-02,0,0,897
2019-04-03,0,0,890
2019-04-04,0,0,902
2019-04-05,0,0,882
2019-04-06,0,0,899
2019-04-07,0,0,907
2019-04-08,0,0,912
2019-04-09,0,0,898
2019-04-10,0,0,893
2019-04-11,0,0,897
2019-04-12,0,0,908
2019-04-13,0,0,893
2019-04-14,0,0,902
2019-04-15,0,0,899
2019-04-16,0,0,910
2019-04-17,0,0,899
2019-04-18,0,0,905
2019-04-19,0,0,903
2019-04-20,0,0,913
2019-04-21,0,0,893
2019-04-22,0,0,896
2019-04-23,0,0,877
2019-04-24,0,0,882
2019-04-25,0,0,892
2019-04-26,0,0,900
2019-04-27,0,0,898
2019-04-28,0,0,902
2019-04-29,0,0,879
2019-04-30,0,0,889
2019-05-01,0,0,898
2019-05-02,0,0,881
2019-05-03,0,0,908
2019-05-04,0,0,886
2019-05-05,0,0,889
2019-05-06,0,0,897
2019-05-07,0,0,882
2019-05-08,0,0,909
2019-05-09,0,0,891
2019-05-10,0,0,885
2019-05-11,0,0,880
2019-05-12,0,0,887
2019-05-13,0,0,893
2019-05-14,0,0,910
2019-05-15,0,0,894
2019-05-16,0,0,886
2019-05-17,0,0,889
2019-05-18,0,0,891
2019-05-19,0,0,868
2019-05-20,0,0,888
2019-05-21,0,0,873
2019-05-22,0,0,877
2019-05-23,0,0,894
2019-05-24,0,0,905
2019-05-25,0,0,892
2019-05-26,0,0,875
2019-05-27,0,0,888
2019-05-28,0,0,890
2019-05-29,0,0,872
2019-05-30,0,0,877
2019-05-31,0,0,876
2019-06-01,0,0,847
2019-06-02,0,0,873
2019-06-03,0,0,874
2019-06-04,0,0,861
2019-06-05,0,0,881
2019-06-06,0,0,872
2019-06-07,0,0,864
2019-06-08,0,0,870
2019-06-09,0,0,867
2019-06-10,0,0,865
2019-06-11,0,0,868
2019-06-12,0,0,857
2019-06-13,0,0,865
2019-06-14,0,0,868
2019-06-15,0,0,853
2019-06-16,0,0,860
2019-06-17,0,0,863
2019-06-18,0,0,866
2019-06-19,0,0,855
2019-06-20,0,0,849
2019-06-21,0,0,857
2019-06-22,0,0,857
2019-06-23,0,0,874
2019-06-24,0,0,855
2019-06-25,0,0,857
2019-06-26,0,0,853
2019-06-27,0,0,859
2019-06-28,0,0,848
